ftime(hr)    y01   DS02   LG02   HWFI   AVNI   VMXC   DV12   SLAT   SSTN   SHDC   DTL 
  12       -10.2    1.8    1.8    0.8   -4.2   55.2    5.0   32.7   23.5   13.7 1534.0
  12       -11.2   -0.2   -1.2    3.8   -2.2   56.2    0.0   33.7   22.9   14.4 1430.7
  12         0.2    0.2   -3.8    3.2    0.2   44.8  -10.0   34.5   22.9   20.2 1377.0
  12        -0.8   -1.8   -3.8    5.2    0.2   45.8  -10.0   35.5   22.3   23.8 1304.0
  12        -8.2   -0.2   -0.2    1.8   -1.2   53.2    5.0   36.4   21.7   25.0 1302.7
  12         0.8    0.8   -2.2   -0.2    1.8   49.2    0.0   37.7   20.9   23.5 1303.0
  12         7.5    0.5   -1.5    0.5    0.5   47.5    0.0   38.6   20.2   20.7 1385.0
  12        11.0    2.0    1.0   -2.0   -1.0   44.0    0.0   39.3   19.7   17.3 1560.7
  12         5.8    0.8   -2.2    0.8    0.8   34.2    0.0   27.7   28.8    8.8   99.0
  12        10.5   -0.5   -2.5    1.5    1.5   34.5    0.0   27.8   28.8    9.8  105.0
  12         1.8    1.8    1.8   -1.2   -2.2   48.2   10.0   28.0   28.7    8.0  105.3
  12         3.0    2.0    2.0   -4.0    0.0   52.0   10.0   28.1   28.7    9.2  123.0
  12         3.8    1.8    2.8   -4.2   -0.2   56.2   10.0   28.6   28.4    9.9  141.7
  12         9.0    1.0    1.0   -1.0   -1.0   56.0    5.0   29.4   28.1   10.8  191.7
  12        10.8    3.8    2.8   -3.2   -3.2   59.2    5.0   30.1   28.2   11.4  214.3
  12        13.8    4.8    4.8   -6.2   -3.2   66.2   10.0   31.0   28.4   10.0  190.3
  12        12.2    1.2    1.2   -2.8    0.2   67.8    5.0   31.7   28.7    6.9  165.3
  12         1.2    4.2    5.2   -8.8   -0.8   83.8   15.0   32.8   28.8    8.8  115.7
  12        -0.2    1.8    2.8   -3.2   -1.2   85.2   15.0   34.1   28.1    6.3   54.3
  12        -6.2    1.8    2.8   -8.2    3.8   86.2   10.0   35.4   26.9   10.9   68.7
  12       -14.2    0.8   -1.2   -4.2    4.8   84.2    5.0   36.9   25.6   16.8  120.0
  12       -17.0   -2.0   -1.0   -2.0    5.0   82.0    0.0   38.5   24.1   26.9  164.0
  12        -7.2   -0.2   -0.2   -7.2    7.8   67.2  -10.0   40.2   21.6   35.5  168.7
  12        -0.8    2.2    0.2   -1.8   -0.8   30.8    0.0   12.2   26.7   12.9 1095.3
  12        -0.8    2.2    0.2   -0.8   -1.8   30.8    0.0   12.4   26.7   12.0 1025.0
  12        -0.8    2.2    0.2   -0.8   -1.8   30.8    0.0   12.7   26.8   10.6  955.7
  12        -0.8    1.2    0.2   -1.8    0.2   30.8    0.0   13.1   26.9   10.9  914.0
  12         0.0    1.0    1.0   -1.0   -1.0   30.0    0.0   13.5   27.1   13.0  892.3
  12         4.8   -0.2   -1.2    2.8   -1.2   40.2    0.0   13.3   28.1   17.0  461.7
  12         6.0    0.0    0.0    0.0    0.0   39.0    0.0   14.3   28.0   17.6  444.7
  12        -6.0   -1.0    0.0    4.0   -3.0   46.0    5.0   15.3   28.2   16.4  415.3
  12        -4.5    0.5    1.5   -0.5   -1.5   44.5    5.0   16.2   28.5   18.6  304.7
  12        -4.2   -0.2   -0.2   -1.2    1.8   44.2    0.0   16.9   28.6   19.5  152.3
  12        -2.5   -2.5   -2.5    1.5    3.5   42.5    0.0   17.8   28.8   18.7   56.0
  12        -5.2   -0.2   -1.2    1.8   -0.2   45.2    0.0   19.0   28.8   20.0   29.0
  12        -1.8    0.2   -1.8    1.2    0.2   41.8   -5.0   20.2   28.7   21.9   76.0
  12         0.0   -2.0   -4.0    7.0   -1.0   45.0   -5.0   21.5   28.8   21.1  186.7
  12         9.0   -2.0   -4.0    4.0    2.0   46.0    0.0   22.9   28.9   14.8  300.3
  12        14.5   -1.5   -3.5    4.5    0.5   45.5    0.0   24.2   28.9   17.9  433.3
  12        13.5    0.5    1.5    0.5   -2.5   56.5   10.0   25.7   29.0   17.9  548.0
  12        10.0    0.0    1.0    1.0   -2.0   60.0   10.0   27.1   29.0   18.1  615.3
